[0.000000] (-) TimerEvent: {}
[0.000480] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000548] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000598] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000642] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000685] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000735] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000778] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000819] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000861] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000903] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000943] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000984] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.001025] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.001066] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.001106] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.001147] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.001188] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.001228] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.001269] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.001310] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001349] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001370] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001388] (-) JobUnselected: {'identifier': 'flare_detect'}
[0.001404] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.001421] (-) JobUnselected: {'identifier': 'my_package'}
[0.001438] (-) JobUnselected: {'identifier': 'pub_controller'}
[0.001455] (-) JobUnselected: {'identifier': 'ros2_color_detection'}
[0.001472] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.001489] (-) EventReactorShutdown: {}
